tx_name	gene_id	chrom	strand	nexon	tx_len	cds_len	utr5_len	utr3_len	gene_biotype	gene_name	gene_source	protein_id	transcript_biotype	transcript_name	transcript_source	ensembl_canonical	seleno
XM_026446439	LOC100576818	CM009932.2	+	5	1195	987	169	39	protein_coding		RefSeq	XP_026302224	protein_coding		RefSeq	True	False
XM_026446440	LOC100576818	CM009932.2	+	5	1098	927	132	39	protein_coding		RefSeq	XP_026302225	protein_coding		RefSeq	False	False
XM_624258	LOC551872	CM009932.2	+	6	1604	1074	413	117	protein_coding		RefSeq	XP_624261	protein_coding		RefSeq	True	False
XR_001702084	LOC107964030	CM009932.2	+	4	2523	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_006564234	LOC727293	CM009932.2	+	9	1656	1302	317	37	protein_coding		RefSeq	XP_006564297	protein_coding		RefSeq	True	False
XM_392758	LOC409234	CM009932.2	-	3	1350	489	239	622	protein_coding		RefSeq	XP_392758	protein_coding		RefSeq	True	False
XM_016918056	LOC408699	CM009932.2	+	21	3172	2484	572	116	protein_coding		RefSeq	XP_016773545	protein_coding		RefSeq	True	False
XM_016918057	LOC408699	CM009932.2	+	19	2570	2445	9	116	protein_coding		RefSeq	XP_016773546	protein_coding		RefSeq	False	False
XM_001122533	LOC726812	CM009932.2	+	8	1916	1680	169	67	protein_coding		RefSeq	XP_001122533	protein_coding		RefSeq	True	False
XM_394342	LOC410866	CM009932.2	-	6	3272	657	442	2173	protein_coding		RefSeq	XP_394342	protein_coding		RefSeq	True	False
XM_001121718	LOC725930	CM009932.2	-	6	1289	1053	154	82	protein_coding		RefSeq	XP_001121718	protein_coding		RefSeq	True	False
XM_006564701	LOC100579019	CM009932.2	-	1	669	405	80	184	protein_coding		RefSeq	XP_006564764	protein_coding		RefSeq	True	False
XM_394362	LOC410886	CM009932.2	+	3	6587	5340	543	704	protein_coding		RefSeq	XP_394362	protein_coding		RefSeq	False	False
XM_026446465	LOC410886	CM009932.2	+	3	6602	5340	558	704	protein_coding		RefSeq	XP_026302250	protein_coding		RefSeq	True	False
XM_016910830	LOC408653	CM009932.2	+	15	4744	4176	338	230	protein_coding		RefSeq	XP_016766319	protein_coding		RefSeq	False	False
XM_016910824	LOC408653	CM009932.2	+	15	4908	4176	502	230	protein_coding		RefSeq	XP_016766313	protein_coding		RefSeq	False	False
XM_016910828	LOC408653	CM009932.2	+	15	5074	4176	668	230	protein_coding		RefSeq	XP_016766317	protein_coding		RefSeq	True	False
XM_016910831	LOC408653	CM009932.2	+	15	4906	4173	503	230	protein_coding		RefSeq	XP_016766320	protein_coding		RefSeq	False	False
XM_392192	LOC408653	CM009932.2	+	15	4896	4164	502	230	protein_coding		RefSeq	XP_392192	protein_coding		RefSeq	False	False
XM_016910825	LOC408653	CM009932.2	+	15	4907	4176	501	230	protein_coding		RefSeq	XP_016766314	protein_coding		RefSeq	False	False
XM_006568723	LOC408653	CM009932.2	+	15	4899	4167	502	230	protein_coding		RefSeq	XP_006568786	protein_coding		RefSeq	False	False
XM_016910829	LOC408653	CM009932.2	+	15	4677	4176	271	230	protein_coding		RefSeq	XP_016766318	protein_coding		RefSeq	False	False
XM_016910827	LOC408653	CM009932.2	+	15	4973	4176	567	230	protein_coding		RefSeq	XP_016766316	protein_coding		RefSeq	False	False
XM_006568730	LOC408653	CM009932.2	+	15	4893	4161	502	230	protein_coding		RefSeq	XP_006568793	protein_coding		RefSeq	False	False
XM_016918059	LOC724425	CM009932.2	+	5	1883	1434	290	159	protein_coding		RefSeq	XP_016773548	protein_coding		RefSeq	True	False
XM_016917438	LOC413578	CM009932.2	+	20	3243	2814	183	246	protein_coding		RefSeq	XP_016772927	protein_coding		RefSeq	True	False
XR_412383	LOC102653978	CM009932.2	-	2	724	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_006568762	LOC410808	CM009932.2	-	6	1742	840	748	154	protein_coding		RefSeq	XP_006568825	protein_coding		RefSeq	False	False
XM_026446480	LOC410808	CM009932.2	-	5	1197	840	203	154	protein_coding		RefSeq	XP_026302265	protein_coding		RefSeq	False	False
XM_394284	LOC410808	CM009932.2	-	5	2139	840	668	631	protein_coding		RefSeq	XP_394284	protein_coding		RefSeq	True	False
XM_026439069	LOC726554	CM009932.2	+	9	2141	1449	669	23	protein_coding		RefSeq	XP_026294854	protein_coding		RefSeq	False	False
XM_026439068	LOC726554	CM009932.2	+	10	1584	1479	82	23	protein_coding		RefSeq	XP_026294853	protein_coding		RefSeq	False	False
XM_026439067	LOC726554	CM009932.2	+	10	2175	1479	673	23	protein_coding		RefSeq	XP_026294852	protein_coding		RefSeq	True	False
XM_003251149	LOC100578072	CM009932.2	+	4	2080	1020	372	688	protein_coding		RefSeq	XP_003251197	protein_coding		RefSeq	True	False
XM_006568187	LOC100578072	CM009932.2	+	4	2067	993	386	688	protein_coding		RefSeq	XP_006568250	protein_coding		RefSeq	False	False
XM_006559134	LOC412759	CM009932.2	-	4	856	579	120	157	protein_coding		RefSeq	XP_006559197	protein_coding		RefSeq	False	False
XM_006559135	LOC412759	CM009932.2	-	4	703	549	57	97	protein_coding		RefSeq	XP_006559198	protein_coding		RefSeq	False	False
XM_396212	LOC412759	CM009932.2	-	4	871	654	60	157	protein_coding		RefSeq	XP_396212	protein_coding		RefSeq	True	False
XM_394370	LOC410894	CM009932.2	-	5	925	792	75	58	protein_coding		RefSeq	XP_394370	protein_coding		RefSeq	True	False
XM_026439226	LOC724114	CM009932.2	-	5	647	441	105	101	protein_coding		RefSeq	XP_026295011	protein_coding		RefSeq	False	False
XM_026439225	LOC724114	CM009932.2	-	6	731	525	105	101	protein_coding		RefSeq	XP_026295010	protein_coding		RefSeq	True	False
XM_001120007	LOC725101	CM009932.2	-	2	1176	720	425	31	protein_coding		RefSeq	XP_001120007	protein_coding		RefSeq	True	False
XM_392222	LOC408686	CM009932.2	+	4	1622	1206	215	201	protein_coding		RefSeq	XP_392222	protein_coding		RefSeq	True	False
XM_026439149	LOC113218604	CM009932.2	+	3	606	519	0	87	protein_coding		RefSeq	XP_026294934	protein_coding		RefSeq	True	False
XM_392212	LOC408675	CM009932.2	-	5	1174	762	138	274	protein_coding		RefSeq	XP_392212	protein_coding		RefSeq	True	False
XM_006568761	LOC725626	CM009932.2	-	2	4133	891	1211	2031	protein_coding		RefSeq	XP_006568824	protein_coding		RefSeq	True	False
XR_409756	LOC100577125	CM009932.2	-	3	15839	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XR_411320	LOC102656010	CM009932.2	+	2	1816	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_006568959	LOC552073	CM009932.2	+	8	1965	1641	240	84	protein_coding		RefSeq	XP_006569022	protein_coding		RefSeq	True	False
XR_408210	LOC102655792	CM009932.2	+	2	1801	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_001120520	LOC725743	CM009932.2	+	3	845	237	298	310	protein_coding		RefSeq	XP_001120520	protein_coding		RefSeq	True	False
XM_006565840	LOC100577670	CM009932.2	+	3	8586	741	1031	6814	protein_coding		RefSeq	XP_006565903	protein_coding		RefSeq	True	False
XM_006561150	LOC408708	CM009932.2	-	5	890	630	151	109	protein_coding		RefSeq	XP_006561213	protein_coding		RefSeq	False	False
XM_003249757	LOC408708	CM009932.2	-	5	1036	555	337	144	protein_coding		RefSeq	XP_003249805	protein_coding		RefSeq	False	False
XM_006561152	LOC408708	CM009932.2	-	5	841	546	151	144	protein_coding		RefSeq	XP_006561215	protein_coding		RefSeq	False	False
XM_006561151	LOC408708	CM009932.2	-	5	751	567	72	112	protein_coding		RefSeq	XP_006561214	protein_coding		RefSeq	False	False
XM_392244	LOC408708	CM009932.2	-	5	1088	639	337	112	protein_coding		RefSeq	XP_392244	protein_coding		RefSeq	True	False
GeneID_107964110_t1	GeneID_107964110	CM009932.2	-	1	72	0	0	0	tRNA	TRNAG-UCC-3	RefSeq		tRNA	TRNAG-UCC-3_t1	RefSeq	True	False
XM_006565862	LOC408697	CM009932.2	+	10	4965	3207	203	1555	protein_coding		RefSeq	XP_006565925	protein_coding		RefSeq	False	False
XM_006565863	LOC408697	CM009932.2	+	7	5052	2799	698	1555	protein_coding		RefSeq	XP_006565926	protein_coding		RefSeq	False	False
XM_016910886	LOC408697	CM009932.2	+	10	4858	3207	96	1555	protein_coding		RefSeq	XP_016766375	protein_coding		RefSeq	False	False
XM_006565861	LOC408697	CM009932.2	+	10	5074	3207	312	1555	protein_coding		RefSeq	XP_006565924	protein_coding		RefSeq	True	False
XM_006568855	LOC408677	CM009932.2	-	6	11863	10833	278	752	protein_coding		RefSeq	XP_006568918	protein_coding		RefSeq	False	False
XM_006568851	LOC408677	CM009932.2	-	7	13924	12789	383	752	protein_coding		RefSeq	XP_006568914	protein_coding		RefSeq	False	False
XM_006568845	LOC408677	CM009932.2	-	7	14389	13254	383	752	protein_coding		RefSeq	XP_006568908	protein_coding		RefSeq	False	False
XM_006568847	LOC408677	CM009932.2	-	7	14296	13161	383	752	protein_coding		RefSeq	XP_006568910	protein_coding		RefSeq	False	False
XM_006568844	LOC408677	CM009932.2	-	6	14575	13440	383	752	protein_coding		RefSeq	XP_006568907	protein_coding		RefSeq	True	False
XM_006568852	LOC408677	CM009932.2	-	7	13831	12696	383	752	protein_coding		RefSeq	XP_006568915	protein_coding		RefSeq	False	False
XM_016918128	LOC408677	CM009932.2	-	6	13398	10833	1813	752	protein_coding		RefSeq	XP_016773617	protein_coding		RefSeq	False	False
XM_026439294	LOC408677	CM009932.2	-	8	14110	12975	383	752	protein_coding		RefSeq	XP_026295079	protein_coding		RefSeq	False	False
XR_412387	LOC725528	CM009932.2	-	13	2277	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XM_001121363	LOC725528	CM009932.2	-	14	2717	2235	161	321	protein_coding		RefSeq	XP_001121363	protein_coding		RefSeq	True	False
XM_026438975	LOC409221	CM009932.2	-	14	3831	3615	211	5	protein_coding		RefSeq	XP_026294760	protein_coding		RefSeq	False	False
XM_006568999	LOC409221	CM009932.2	-	14	4451	3702	211	538	protein_coding		RefSeq	XP_006569062	protein_coding		RefSeq	True	False
GeneID_104796199_t1	GeneID_104796199	CM009932.2	+	1	22	0	0	0	pre_miRNA	Mir6038	RefSeq		miRNA	Mir6038_t1	RefSeq	False	False
NR_127311	GeneID_104796199	CM009932.2	+	1	75	0	0	0	pre_miRNA	Mir6038	RefSeq		pre_miRNA		RefSeq	True	False
XM_006564723	LOC725325	CM009932.2	-	7	3318	1557	403	1358	protein_coding		RefSeq	XP_006564786	protein_coding		RefSeq	False	False
XM_006564722	LOC725325	CM009932.2	-	7	3093	1566	169	1358	protein_coding		RefSeq	XP_006564785	protein_coding		RefSeq	True	False
XM_006564724	LOC725325	CM009932.2	-	7	3044	1494	192	1358	protein_coding		RefSeq	XP_006564787	protein_coding		RefSeq	False	False
GeneID_732508_t1	GeneID_732508	CM009932.2	+	1	22	0	0	0	pre_miRNA	Mir315	RefSeq		miRNA	Mir315_t1	RefSeq	False	False
NR_031525	GeneID_732508	CM009932.2	+	1	82	0	0	0	pre_miRNA	Mir315	RefSeq		pre_miRNA		RefSeq	True	False
XM_006568972	LOC726428	CM009932.2	-	3	710	558	45	107	protein_coding		RefSeq	XP_006569035	protein_coding		RefSeq	True	False
XM_001120246	LOC726428	CM009932.2	-	3	721	468	146	107	protein_coding		RefSeq	XP_001120246	protein_coding		RefSeq	False	False
XM_006557650	LOC102654685	CM009932.2	-	2	1091	744	275	72	protein_coding		RefSeq	XP_006557713	protein_coding		RefSeq	True	False
NM_001114188	GeneID_410818	CM009932.2	+	7	1950	1950	0	0	protein_coding	Eyg	RefSeq	NP_001107660	protein_coding		RefSeq	False	False
XM_016917992	GeneID_410818	CM009932.2	+	6	4619	2055	1590	974	protein_coding	Eyg	RefSeq	XP_016773481	protein_coding		RefSeq	True	False
XM_006568692	GeneID_410818	CM009932.2	+	6	4597	2040	1583	974	protein_coding	Eyg	RefSeq	XP_006568755	protein_coding		RefSeq	False	False
XM_026439237	LOC100578437	CM009932.2	+	6	7520	1503	1484	4533	protein_coding		RefSeq	XP_026295022	protein_coding		RefSeq	False	False
XM_026439238	LOC100578437	CM009932.2	+	5	7469	1452	1484	4533	protein_coding		RefSeq	XP_026295023	protein_coding		RefSeq	False	False
XM_006565927	LOC100578437	CM009932.2	+	6	6885	1746	606	4533	protein_coding		RefSeq	XP_006565990	protein_coding		RefSeq	True	False
XM_623194	LOC411765	CM009932.2	+	5	2879	1329	228	1322	protein_coding		RefSeq	XP_623197	protein_coding		RefSeq	True	False
XM_006568764	LOC725473	CM009932.2	+	7	1219	987	161	71	protein_coding		RefSeq	XP_006568827	protein_coding		RefSeq	True	False
XM_006565852	LOC726956	CM009932.2	-	5	1356	699	502	155	protein_coding		RefSeq	XP_006565915	protein_coding		RefSeq	False	False
XM_001122673	LOC726956	CM009932.2	-	6	1535	870	504	161	protein_coding		RefSeq	XP_001122673	protein_coding		RefSeq	True	False
XM_001120006	LOC724367	CM009932.2	+	1	968	633	159	176	protein_coding		RefSeq	XP_001120006	protein_coding		RefSeq	True	False
XR_001706524	LOC107966102	CM009932.2	-	4	718	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_003304190	LOC107966102	CM009932.2	-	3	1521	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_003304191	LOC107966102	CM009932.2	-	3	1616	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XR_003304192	LOC107966102	CM009932.2	-	4	1008	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XM_006565895	LOC100576914	CM009932.2	+	4	1444	1221	147	76	protein_coding		RefSeq	XP_006565958	protein_coding		RefSeq	True	False
XM_394353	LOC410877	CM009932.2	-	4	1308	1143	133	32	protein_coding		RefSeq	XP_394353	protein_coding		RefSeq	True	False
XM_026439289	LOC724808	CM009932.2	-	5	742	552	116	74	protein_coding		RefSeq	XP_026295074	protein_coding		RefSeq	False	False
XM_001120710	LOC724808	CM009932.2	-	13	2590	2136	363	91	protein_coding		RefSeq	XP_001120710	protein_coding		RefSeq	True	False
XM_026439011	LOC100578833	CM009932.2	-	4	1774	1593	137	44	protein_coding		RefSeq	XP_026294796	protein_coding		RefSeq	False	False
XM_026439009	LOC100578833	CM009932.2	-	7	2469	1896	465	108	protein_coding		RefSeq	XP_026294794	protein_coding		RefSeq	False	False
XM_026439008	LOC100578833	CM009932.2	-	7	2152	1908	136	108	protein_coding		RefSeq	XP_026294793	protein_coding		RefSeq	True	False
XM_016918150	LOC107966117	CM009932.2	-	1	1314	1110	71	133	protein_coding		RefSeq	XP_016773639	protein_coding		RefSeq	True	False
XM_026439099	LOC726295	CM009932.2	-	2	461	258	129	74	protein_coding		RefSeq	XP_026294884	protein_coding		RefSeq	False	False
XM_016911019	LOC726295	CM009932.2	-	2	495	258	163	74	protein_coding		RefSeq	XP_016766508	protein_coding		RefSeq	True	False
XM_026439178	LOC410848	CM009932.2	+	7	4656	2952	223	1481	protein_coding		RefSeq	XP_026294963	protein_coding		RefSeq	True	False
XM_026446404	LOC409111	CM009932.2	-	8	2334	2088	0	246	protein_coding		RefSeq	XP_026302189	protein_coding		RefSeq	True	False
XM_003250721	LOC100577787	CM009932.2	+	5	1647	1212	432	3	protein_coding		RefSeq	XP_003250769	protein_coding		RefSeq	False	False
XM_026439120	LOC100577787	CM009932.2	+	4	1702	1248	432	22	protein_coding		RefSeq	XP_026294905	protein_coding		RefSeq	True	False
XM_006565903	LOC102656907	CM009932.2	+	5	1608	1233	309	66	protein_coding		RefSeq	XP_006565966	protein_coding		RefSeq	True	False
XM_026438978	LOC102656907	CM009932.2	+	7	1643	1230	308	105	protein_coding		RefSeq	XP_026294763	protein_coding		RefSeq	False	False
XM_006560719	LOC551009	CM009932.2	+	5	1356	1173	148	35	protein_coding		RefSeq	XP_006560782	protein_coding		RefSeq	False	False
XM_623404	LOC551009	CM009932.2	+	7	1657	1392	230	35	protein_coding		RefSeq	XP_623407	protein_coding		RefSeq	True	False
NM_001114198	GeneID_552391	CM009932.2	+	2	707	582	28	97	protein_coding	A4	RefSeq	NP_001107670	protein_coding		RefSeq	True	False
XM_006564235	LOC102656247	CM009932.2	-	10	1957	1845	39	73	protein_coding		RefSeq	XP_006564298	protein_coding		RefSeq	True	False
XM_006561094	LOC408710	CM009932.2	-	8	2120	1113	164	843	protein_coding		RefSeq	XP_006561157	protein_coding		RefSeq	False	False
XR_003304213	LOC408710	CM009932.2	-	14	2958	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XM_392246	LOC408710	CM009932.2	-	8	2201	1194	164	843	protein_coding		RefSeq	XP_392246	protein_coding		RefSeq	True	False
XR_003304212	LOC408710	CM009932.2	-	15	2980	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_003304211	LOC408710	CM009932.2	-	16	3284	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XM_026439288	LOC410816	CM009932.2	+	10	1609	1350	132	127	protein_coding		RefSeq	XP_026295073	protein_coding		RefSeq	False	False
XM_394292	LOC410816	CM009932.2	+	11	2158	1785	246	127	protein_coding		RefSeq	XP_394292	protein_coding		RefSeq	True	False
XR_001706525	LOC107966103	CM009932.2	-	2	4449	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_392223	LOC408687	CM009932.2	+	5	1201	1113	85	3	protein_coding		RefSeq	XP_392223	protein_coding		RefSeq	True	False
XM_016910817	LOC552124	CM009932.2	+	7	869	717	152	0	protein_coding		RefSeq	XP_016766306	protein_coding		RefSeq	False	False
XM_624504	LOC552124	CM009932.2	+	7	2110	717	536	857	protein_coding		RefSeq	XP_624507	protein_coding		RefSeq	True	False
XM_006569073	LOC552124	CM009932.2	+	7	760	717	43	0	protein_coding		RefSeq	XP_006569136	protein_coding		RefSeq	False	False
XR_003304193	LOC113218601	CM009932.2	-	2	8219	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XR_003306564	LOC113219429	CM009932.2	+	2	3175	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_392195	LOC408656	CM009932.2	-	10	4410	3585	424	401	protein_coding		RefSeq	XP_392195	protein_coding		RefSeq	True	False
XM_006568704	LOC408656	CM009932.2	-	10	4395	3570	424	401	protein_coding		RefSeq	XP_006568767	protein_coding		RefSeq	False	False
XR_001702108	LOC107964042	CM009932.2	-	2	646	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_006568166	LOC410853	CM009932.2	+	14	13365	2613	799	9953	protein_coding		RefSeq	XP_006568229	protein_coding		RefSeq	True	False
XM_006568168	LOC410853	CM009932.2	+	13	13436	2601	882	9953	protein_coding		RefSeq	XP_006568231	protein_coding		RefSeq	False	False
XM_006568167	LOC410853	CM009932.2	+	14	12671	2613	105	9953	protein_coding		RefSeq	XP_006568230	protein_coding		RefSeq	False	False
XM_006568834	LOC726280	CM009932.2	-	21	9988	8007	651	1330	protein_coding		RefSeq	XP_006568897	protein_coding		RefSeq	False	False
XM_026439076	LOC726280	CM009932.2	-	21	9985	8004	651	1330	protein_coding		RefSeq	XP_026294861	protein_coding		RefSeq	False	False
XM_026439075	LOC726280	CM009932.2	-	20	10078	8097	651	1330	protein_coding		RefSeq	XP_026294860	protein_coding		RefSeq	False	False
XM_026439077	LOC726280	CM009932.2	-	21	9955	7974	651	1330	protein_coding		RefSeq	XP_026294862	protein_coding		RefSeq	False	False
XM_026439078	LOC726280	CM009932.2	-	19	9925	7944	651	1330	protein_coding		RefSeq	XP_026294863	protein_coding		RefSeq	False	False
XM_026439074	LOC726280	CM009932.2	-	20	10081	8100	651	1330	protein_coding		RefSeq	XP_026294859	protein_coding		RefSeq	True	False
XR_001706543	LOC100576808	CM009932.2	-	2	1248	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
NM_001327950	LOC100578724	CM009932.2	+	6	1122	1122	0	0	protein_coding		RefSeq	NP_001314879	protein_coding		RefSeq	True	False
XM_016910999	LOC100578724	CM009932.2	+	6	1393	1074	159	160	protein_coding		RefSeq	XP_016766488	protein_coding		RefSeq	False	False
XM_001122434	LOC726711	CM009932.2	-	3	518	399	30	89	protein_coding		RefSeq	XP_001122434	protein_coding		RefSeq	True	False
XM_623129	LOC550738	CM009932.2	-	6	1763	729	175	859	protein_coding		RefSeq	XP_623132	protein_coding		RefSeq	True	False
XM_393285	LOC409791	CM009932.2	-	1	4298	1062	1109	2127	protein_coding		RefSeq	XP_393285	protein_coding		RefSeq	True	False
XM_001122118	LOC726375	CM009932.2	-	3	4179	1737	962	1480	protein_coding		RefSeq	XP_001122118	protein_coding		RefSeq	True	False
XM_026439033	LOC113218594	CM009932.2	+	7	2114	1974	140	0	protein_coding		RefSeq	XP_026294818	protein_coding		RefSeq	True	False
XM_026446460	LOC107964089	CM009932.2	+	5	1296	792	321	183	protein_coding		RefSeq	XP_026302245	protein_coding		RefSeq	True	False
XM_006558336	LOC726798	CM009932.2	+	14	2513	2010	214	289	protein_coding		RefSeq	XP_006558399	protein_coding		RefSeq	False	False
XM_026439062	LOC726798	CM009932.2	+	16	2344	2040	233	71	protein_coding		RefSeq	XP_026294847	protein_coding		RefSeq	False	False
XM_001122519	LOC726798	CM009932.2	+	14	2708	2010	409	289	protein_coding		RefSeq	XP_001122519	protein_coding		RefSeq	False	False
XM_026439061	LOC726798	CM009932.2	+	15	2562	2040	233	289	protein_coding		RefSeq	XP_026294846	protein_coding		RefSeq	True	False
XM_026439179	LOC113218605	CM009932.2	-	8	3816	2010	479	1327	protein_coding		RefSeq	XP_026294964	protein_coding		RefSeq	True	False
XM_026439180	LOC113218605	CM009932.2	-	8	3262	1935	0	1327	protein_coding		RefSeq	XP_026294965	protein_coding		RefSeq	False	False
XR_411291	LOC102654939	CM009932.2	-	2	4080	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_006572132	LOC552129	CM009932.2	-	5	5664	4266	0	1398	protein_coding		RefSeq	XP_006572195	protein_coding		RefSeq	True	False
XM_016918049	LOC100577590	CM009932.2	+	4	1527	1107	307	113	protein_coding		RefSeq	XP_016773538	protein_coding		RefSeq	False	False
XM_003250717	LOC100577590	CM009932.2	+	5	1848	1224	307	317	protein_coding		RefSeq	XP_003250765	protein_coding		RefSeq	True	False
XR_410392	LOC100577590	CM009932.2	+	5	1844	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XM_026439116	LOC725294	CM009932.2	+	20	7441	4014	628	2799	protein_coding		RefSeq	XP_026294901	protein_coding		RefSeq	True	False
XM_026439117	LOC725294	CM009932.2	+	20	5084	3990	628	466	protein_coding		RefSeq	XP_026294902	protein_coding		RefSeq	False	False
XM_003250397	LOC100576274	CM009932.2	-	3	1455	1086	270	99	protein_coding		RefSeq	XP_003250445	protein_coding		RefSeq	True	False
XM_006564229	LOC100576274	CM009932.2	-	3	1204	1086	19	99	protein_coding		RefSeq	XP_006564292	protein_coding		RefSeq	False	False
XM_016918022	LOC412314	CM009932.2	+	8	3418	2871	458	89	protein_coding		RefSeq	XP_016773511	protein_coding		RefSeq	True	False
NM_001242962	GeneID_100577902	CM009932.2	+	5	1569	1185	50	334	protein_coding	Or11	RefSeq	NP_001229891	protein_coding		RefSeq	True	False
XM_006568740	LOC410793	CM009932.2	+	22	13865	13086	547	232	protein_coding		RefSeq	XP_006568803	protein_coding		RefSeq	True	False
XM_016917342	LOC727393	CM009932.2	+	3	884	198	190	496	protein_coding		RefSeq	XP_016772831	protein_coding		RefSeq	True	False
XR_003304169	LOC113218592	CM009932.2	-	2	254	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_026439212	LOC724299	CM009932.2	-	17	6064	4941	680	443	protein_coding		RefSeq	XP_026294997	protein_coding		RefSeq	True	False
XM_026439215	LOC724299	CM009932.2	-	17	6055	4932	680	443	protein_coding		RefSeq	XP_026295000	protein_coding		RefSeq	False	False
XM_026439214	LOC724299	CM009932.2	-	17	5851	4941	467	443	protein_coding		RefSeq	XP_026294999	protein_coding		RefSeq	False	False
XM_026439218	LOC724299	CM009932.2	-	16	5003	4200	680	123	protein_coding		RefSeq	XP_026295003	protein_coding		RefSeq	False	False
XM_026439219	LOC724299	CM009932.2	-	16	5160	4200	680	280	protein_coding		RefSeq	XP_026295004	protein_coding		RefSeq	False	False
XM_026439217	LOC724299	CM009932.2	-	17	5833	4830	560	443	protein_coding		RefSeq	XP_026295002	protein_coding		RefSeq	False	False
XM_026439216	LOC724299	CM009932.2	-	17	6040	4917	680	443	protein_coding		RefSeq	XP_026295001	protein_coding		RefSeq	False	False
XM_026439213	LOC724299	CM009932.2	-	17	5991	4941	607	443	protein_coding		RefSeq	XP_026294998	protein_coding		RefSeq	False	False
XR_003304198	LOC107966098	CM009932.2	-	14	2741	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XR_003304199	LOC107966098	CM009932.2	-	14	2737	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_003304200	LOC107966098	CM009932.2	-	14	2602	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_410389	LOC107966098	CM009932.2	-	13	2535	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XM_026439152	LOC410087	CM009932.2	-	4	1810	1470	115	225	protein_coding		RefSeq	XP_026294937	protein_coding		RefSeq	True	False
XR_407540	LOC102655235	CM009932.2	-	4	831	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XR_003304120	LOC102655235	CM009932.2	-	4	811	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XM_006561122	LOC552471	CM009932.2	-	3	635	237	94	304	protein_coding		RefSeq	XP_006561185	protein_coding		RefSeq	True	False
XM_026439044	LOC725506	CM009932.2	-	2	927	291	123	513	protein_coding		RefSeq	XP_026294829	protein_coding		RefSeq	True	False
XM_026446379	LOC724300	CM009932.2	+	5	1961	1440	316	205	protein_coding		RefSeq	XP_026302164	protein_coding		RefSeq	True	False
NM_001242557	LOC724300	CM009932.2	+	4	1847	1440	0	407	protein_coding		RefSeq	NP_001229486	protein_coding		RefSeq	False	False
XR_003304165	LOC113218588	CM009932.2	-	3	788	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_006559080	LOC411452	CM009932.2	-	15	2975	2157	753	65	protein_coding		RefSeq	XP_006559143	protein_coding		RefSeq	False	False
XM_006559077	LOC411452	CM009932.2	-	18	3554	2250	1125	179	protein_coding		RefSeq	XP_006559140	protein_coding		RefSeq	True	False
XM_006559076	LOC411452	CM009932.2	-	17	3083	2250	654	179	protein_coding		RefSeq	XP_006559139	protein_coding		RefSeq	False	False
XM_006559079	LOC411452	CM009932.2	-	16	3148	2250	719	179	protein_coding		RefSeq	XP_006559142	protein_coding		RefSeq	False	False
XM_006559078	LOC411452	CM009932.2	-	17	3266	2250	837	179	protein_coding		RefSeq	XP_006559141	protein_coding		RefSeq	False	False
XM_006559075	LOC411452	CM009932.2	-	17	3053	2250	624	179	protein_coding		RefSeq	XP_006559138	protein_coding		RefSeq	False	False
XM_006559081	LOC411452	CM009932.2	-	14	2702	1869	754	79	protein_coding		RefSeq	XP_006559144	protein_coding		RefSeq	False	False
XM_392613	LOC409088	CM009932.2	-	4	1196	501	412	283	protein_coding		RefSeq	XP_392613	protein_coding		RefSeq	True	False
XM_026446455	LOC409088	CM009932.2	-	4	956	486	187	283	protein_coding		RefSeq	XP_026302240	protein_coding		RefSeq	False	False
